[[12032, 'adm1_name']]
[[12033, 'adm1_name']]
[[12034, 'adm1_name']]
[[12035, 'adm1_name']]
[[12036, 'adm1_name']]
[[12037, 'adm1_name']]
[[12038, 'adm1_name']]
[[12039, 'adm1_name']]
[[12040, 'adm1_name']]
[[12041, 'adm1_name']]
[[12042, 'adm1_name']]
[[12043, 'adm1_name']]
[[12044, 'adm1_name']]
[[12717, 'adm1_name']]
[[12718, 'adm1_name']]
[[12719, 'adm1_name']]
[[12720, 'adm1_name']]
[[12721, 'adm1_name']]
[[12722, 'adm1_name']]
[[12723, 'adm1_name']]
[[12724, 'adm1_name']]
[[12725, 'adm1_name']]
[[12726, 'adm1_name']]
[[12727, 'adm1_name']]
[[12728, 'adm1_name']]
[[12729, 'adm1_name']]
[[12730, 'adm1_name']]
[[12731, 'adm1_name']]
[[12732, 'adm1_name']]
[[12733, 'adm1_name']]
[[12734, 'adm1_name']]
[[12735, 'adm1_name']]
[[12736, 'adm1_name']]
[[12737, 'adm1_name']]
[[12738, 'adm1_name']]
[[12739, 'adm1_name']]
[[12740, 'adm1_name']]
[[12741, 'adm1_name']]
[[12742, 'adm1_name']]
[[12743, 'adm1_name']]
[[12744, 'adm1_name']]
[[12745, 'adm1_name']]
[[12746, 'adm1_name']]
[[12747, 'adm1_name']]
[[12748, 'adm1_name']]
[[12749, 'adm1_name']]
[[12750, 'adm1_name']]
[[12751, 'adm1_name']]
[[12752, 'adm1_name']]
[[12753, 'adm1_name']]
[[12754, 'adm1_name']]
[[12755, 'adm1_name']]
[[12756, 'adm1_name']]
[[12757, 'adm1_name']]
[[12758, 'adm1_name']]
[[12759, 'adm1_name']]
[[12760, 'adm1_name']]
[[12761, 'adm1_name']]
[[12762, 'adm1_name']]
[[12763, 'adm1_name']]
[[12764, 'adm1_name']]
[[12765, 'adm1_name']]
[[12766, 'adm1_name']]
[[12767, 'adm1_name']]
[[12768, 'adm1_name']]
[[12769, 'adm1_name']]
[[12770, 'adm1_name']]
[[12771, 'adm1_name']]
[[12772, 'adm1_name']]
[[12773, 'adm1_name']]
[[12774, 'adm1_name']]
[[12775, 'adm1_name']]
[[12776, 'adm1_name']]
[[12777, 'adm1_name']]
[[12778, 'adm1_name']]
[[12779, 'adm1_name']]
[[12780, 'adm1_name']]
[[12781, 'adm1_name']]
[[12782, 'adm1_name']]
[[12783, 'adm1_name']]
[[12784, 'adm1_name']]
[[12785, 'adm1_name']]
[[12786, 'adm1_name']]
[[12787, 'adm1_name']]
[[12788, 'adm1_name']]
[[12789, 'adm1_name']]
[[12790, 'adm1_name']]
[[12791, 'adm1_name']]
[[12792, 'adm1_name']]
[[12793, 'adm1_name']]
[[12794, 'adm1_name']]
[[12795, 'adm1_name']]
[[12796, 'adm1_name']]
[[12797, 'adm1_name']]
[[12798, 'adm1_name']]
[[12799, 'adm1_name']]
[[12800, 'adm1_name']]
[[12801, 'adm1_name']]
[[12802, 'adm1_name']]
[[12803, 'adm1_name']]
[[12804, 'adm1_name']]
[[12805, 'adm1_name']]
[[12806, 'adm1_name']]
[[12807, 'adm1_name']]
[[12808, 'adm1_name']]
[[12809, 'adm1_name']]
[[12810, 'adm1_name']]
[[12811, 'adm1_name']]
[[12812, 'adm1_name']]
[[12813, 'adm1_name']]
[[12814, 'adm1_name']]
[[12815, 'adm1_name']]
[[12816, 'adm1_name']]
[[12817, 'adm1_name']]
[[12818, 'adm1_name']]
[[12819, 'adm1_name']]
[[12820, 'adm1_name']]
[[12821, 'adm1_name']]
[[12822, 'adm1_name']]
[[12823, 'adm1_name']]
[[12824, 'adm1_name']]
[[12825, 'adm1_name']]
[[12826, 'adm1_name']]
[[12827, 'adm1_name']]
[[12828, 'adm1_name']]
[[12829, 'adm1_name']]
[[12830, 'adm1_name']]
[[12831, 'adm1_name']]
[[12832, 'adm1_name']]
[[12833, 'adm1_name']]
[[12834, 'adm1_name']]
[[12835, 'adm1_name']]
[[12836, 'adm1_name']]
[[12837, 'adm1_name']]
[[12838, 'adm1_name']]
[[12839, 'adm1_name']]
[[12840, 'adm1_name']]
[[12841, 'adm1_name']]
[[19472, 'adm1_name']]
[[19473, 'adm1_name']]
[[19474, 'adm1_name']]
[[19475, 'adm1_name']]
[[19476, 'adm1_name']]
[[19477, 'adm1_name']]
[[19478, 'adm1_name']]
[[19479, 'adm1_name']]
[[19480, 'adm1_name']]
[[19481, 'adm1_name']]
[[19482, 'adm1_name']]
[[19483, 'adm1_name']]
[[19484, 'adm1_name']]
[[19485, 'adm1_name']]
[[19486, 'adm1_name']]
[[19487, 'adm1_name']]
[[19488, 'adm1_name']]
[[19489, 'adm1_name']]
[[19490, 'adm1_name']]
[[19491, 'adm1_name']]
[[19492, 'adm1_name']]
[[19493, 'adm1_name']]
[[19494, 'adm1_name']]
[[19495, 'adm1_name']]
[[19496, 'adm1_name']]
[[19497, 'adm1_name']]
[[19498, 'adm1_name']]
[[19499, 'adm1_name']]
[[19500, 'adm1_name']]
[[19501, 'adm1_name']]
[[19502, 'adm1_name']]
[[19503, 'adm1_name']]
[[19504, 'adm1_name']]
[[19505, 'adm1_name']]
[[19506, 'adm1_name']]
[[19507, 'adm1_name']]
[[19508, 'adm1_name']]
[[19509, 'adm1_name']]
[[19510, 'adm1_name']]
[[19511, 'adm1_name']]
[[19512, 'adm1_name']]
[[19513, 'adm1_name']]
[[19514, 'adm1_name']]
[[19515, 'adm1_name']]
[[19516, 'adm1_name']]
[[19517, 'adm1_name']]
[[19518, 'adm1_name']]
[[19519, 'adm1_name']]
[[19520, 'adm1_name']]
[[19521, 'adm1_name']]
[[19522, 'adm1_name']]
[[19523, 'adm1_name']]
[[19524, 'adm1_name']]
[[19525, 'adm1_name']]
[[19526, 'adm1_name']]
[[19527, 'adm1_name']]
[[19528, 'adm1_name']]
[[19529, 'adm1_name']]
[[19530, 'adm1_name']]
[[19531, 'adm1_name']]
[[19532, 'adm1_name']]
[[19533, 'adm1_name']]
[[19534, 'adm1_name']]
[[19535, 'adm1_name']]
[[19536, 'adm1_name']]
[[19537, 'adm1_name']]
[[19538, 'adm1_name']]
[[19539, 'adm1_name']]
[[19540, 'adm1_name']]
[[19541, 'adm1_name']]
[[19542, 'adm1_name']]
[[19543, 'adm1_name']]
[[19544, 'adm1_name']]
[[19545, 'adm1_name']]
[[19546, 'adm1_name']]
[[19547, 'adm1_name']]
[[19548, 'adm1_name']]
[[19549, 'adm1_name']]
[[52131, 'adm1_name']]
[[52132, 'adm1_name']]
[[52133, 'adm1_name']]
[[52134, 'adm1_name']]
[[52135, 'adm1_name']]
[[52136, 'adm1_name']]
[[52137, 'adm1_name']]
[[52138, 'adm1_name']]
[[52139, 'adm1_name']]
[[52140, 'adm1_name']]
[[52141, 'adm1_name']]
[[52142, 'adm1_name']]
[[52143, 'adm1_name']]
[[52144, 'adm1_name']]
[[52145, 'adm1_name']]
[[52146, 'adm1_name']]
[[52147, 'adm1_name']]
[[52148, 'adm1_name']]
[[52149, 'adm1_name']]
[[52150, 'adm1_name']]
[[52151, 'adm1_name']]
[[52152, 'adm1_name']]
[[52153, 'adm1_name']]
[[52154, 'adm1_name']]
[[52155, 'adm1_name']]
[[52156, 'adm1_name']]
[[52157, 'adm1_name']]
[[52158, 'adm1_name']]
[[52159, 'adm1_name']]
[[52160, 'adm1_name']]
[[52161, 'adm1_name']]
[[52162, 'adm1_name']]
[[52163, 'adm1_name']]
[[52164, 'adm1_name']]
[[52165, 'adm1_name']]
[[63599, 'adm1_name']]
[[63600, 'adm1_name']]
[[63601, 'adm1_name']]
[[63602, 'adm1_name']]
[[63603, 'adm1_name']]
[[63604, 'adm1_name']]
[[63605, 'adm1_name']]
[[63606, 'adm1_name']]
[[63607, 'adm1_name']]
[[63608, 'adm1_name']]
[[63609, 'adm1_name']]
[[63610, 'adm1_name']]
[[63611, 'adm1_name']]
[[63612, 'adm1_name']]
[[63613, 'adm1_name']]
[[63614, 'adm1_name']]
[[63615, 'adm1_name']]
[[63616, 'adm1_name']]
[[63617, 'adm1_name']]
[[63618, 'adm1_name']]
[[63619, 'adm1_name']]
[[63620, 'adm1_name']]
[[63621, 'adm1_name']]
[[63622, 'adm1_name']]
[[63623, 'adm1_name']]
[[63624, 'adm1_name']]
[[63625, 'adm1_name']]
[[63626, 'adm1_name']]
[[63627, 'adm1_name']]
[[63628, 'adm1_name']]
[[63629, 'adm1_name']]
[[63630, 'adm1_name']]
[[63631, 'adm1_name']]
[[63632, 'adm1_name']]
[[63633, 'adm1_name']]
[[63634, 'adm1_name']]
[[63635, 'adm1_name']]
[[63636, 'adm1_name']]
[[63637, 'adm1_name']]
[[63638, 'adm1_name']]
[[63639, 'adm1_name']]
[[63640, 'adm1_name']]
[[63641, 'adm1_name']]
[[63642, 'adm1_name']]
[[63643, 'adm1_name']]
[[63644, 'adm1_name']]
[[63645, 'adm1_name']]
[[63646, 'adm1_name']]
[[63647, 'adm1_name']]
[[63648, 'adm1_name']]
[[63649, 'adm1_name']]
[[63650, 'adm1_name']]
[[63651, 'adm1_name']]
[[63652, 'adm1_name']]
[[63653, 'adm1_name']]
[[63654, 'adm1_name']]
[[63655, 'adm1_name']]
[[63656, 'adm1_name']]
[[63657, 'adm1_name']]
[[63658, 'adm1_name']]
[[63659, 'adm1_name']]
[[63660, 'adm1_name']]
[[63661, 'adm1_name']]
[[63662, 'adm1_name']]
[[63663, 'adm1_name']]
[[63664, 'adm1_name']]
[[63665, 'adm1_name']]
[[63666, 'adm1_name']]
[[63667, 'adm1_name']]
[[63668, 'adm1_name']]
[[63669, 'adm1_name']]
[[63670, 'adm1_name']]
[[63671, 'adm1_name']]
[[63672, 'adm1_name']]
[[63673, 'adm1_name']]
[[63674, 'adm1_name']]
[[63675, 'adm1_name']]
