[399279, 'adm1_name', 'Shan (S)', 'Shan (N)']
[45539, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[45541, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[45679, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[45681, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[45758, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[45759, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[45836, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[45838, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[45910, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[45911, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[45985, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[45986, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[46052, 'mp_commoditysource', 'DRADER Extr\xeame-Nord / WFP', 'DDADER Extr\xeame-Nord / WFP']
[46053, 'mp_commoditysource', 'DDADER Extr\xeame-Nord / WFP', 'DRADER Extr\xeame-Nord / WFP']
[162177, 'mp_commoditysource', 'SIMPAH/FHIA', 'SIMPAH-FHIA']
[162295, 'mp_commoditysource', 'SIMPAH/FHIA', 'SIMPAH-FHIA']
[162411, 'mp_commoditysource', 'SIMPAH/FHIA', 'SIMPAH-FHIA']
[162600, 'mp_commoditysource', 'SIMPAH/FHIA', 'SIMPAH-FHIA']
[237031, 'mp_commoditysource', 'Central bank of Iran ', 'central bank of Iran ']
[237095, 'mp_commoditysource', 'Central bank of Iran ', 'central bank of Iran ']
[237159, 'mp_commoditysource', 'Central bank of Iran ', 'central bank of Iran ']
[237223, 'mp_commoditysource', 'Central bank of Iran ', 'central bank of Iran ']
[237287, 'mp_commoditysource', 'Central bank of Iran ', 'central bank of Iran ']
[244772, 'mp_commoditysource', 'Energy regulatory Commission (ERC)', 'Energy Regulatory Commission (ERC)']
[244774, 'mp_commoditysource', 'Energy Regulatory Commission (ERC)', 'Energy regulatory Commission (ERC)']
[244799, 'mp_commoditysource', 'Energy regulatory Commission (ERC)', 'Energy Regulatory Commission (ERC)']
[244801, 'mp_commoditysource', 'Energy Regulatory Commission (ERC)', 'Energy regulatory Commission (ERC)']
