[399279, 'adm1_name', 'Shan (S)', 'Shan (N)']
[470885, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[470894, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[470937, 'mp_commoditysource', 'Pakistan Bureau of statistics', 'Pakistan Bureau of Statistics']
[470938, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[470947, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[470971, 'mp_commoditysource', 'Pakistan Bureau of statistics', 'Pakistan Bureau of Statistics']
[470972, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[470981, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[471016, 'mp_commoditysource', 'Pakistan Bureau of statistics', 'Pakistan Bureau of Statistics']
[471017, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[471026, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[471050, 'mp_commoditysource', 'Pakistan Bureau of statistics', 'Pakistan Bureau of Statistics']
[471051, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[471060, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[471080, 'mp_commoditysource', 'Pakistan Bureau of statistics', 'Pakistan Bureau of Statistics']
[471081, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[471090, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[471130, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[471160, 'mp_commoditysource', 'Pakistan Bureau of statistics', 'Pakistan Bureau of Statistics']
[471161, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
[471170, 'mp_commoditysource', 'Pakistan Bureau of Statistics', 'Pakistan Bureau of statistics']
